Lab No. ,pH,EC,OC,P,K,Ca,Mg,S,Zn,Fe,Mn,Cu,Leaf yield Mt/ha/yr,,,
192,5.4,0.11,0.83,7,39,3.1,0.3,13.4,0.379,15.45,6.76,0.678,53.69,,,
193,5.5,0.16,0.55,4,19,2.2,0.4,10.62,0.399,10.16,2.25,1.161,49.38,,,
194,5.6,0.17,0.97,7,37,1.8,1.4,9.02,0.336,13.835,4.33,0.58,53.21,,,
195,5.3,0.11,0.29,5,80,3.2,2,4.24,0.327,16.74,7.7,0.681,46.97,,,
196,5.1,0.14,0.29,7,43,1.8,0.3,3.54,0.243,8.68,2.46,0.444,46.31,,,
197,5.8,0.09,0.87,6,84,4,0.6,18.4,0.392,6.46,17.88,1.142,54.98,,,
198,5.6,0.09,0.73,12,82,3.5,0.6,21.9,0.727,11.48,22.45,1.308,54.69,,,
199,5.5,0.08,1.31,7,45,2.1,1.3,10.62,0.313,15.59,6.65,0.958,50.89,,,
200,5.4,0.16,0.73,7,110,2.4,1,7.1,0.632,28.52,6.98,1.454,50.37,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
